"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000027349",-2.44448143534123,7.00060307116938,92.9848809072244,5.95326460065579e-10,3.11319820091089e-06
"ENSMUSG00000048967",-2.92420041580994,5.19907215997357,98.9799621165844,7.22571243103374e-10,3.11319820091089e-06
"ENSMUSG00000030787",-2.8160595551638,5.99611307851778,90.5295163163114,1.36605021208421e-09,3.92375155917654e-06
"ENSMUSG00000027014",-2.99603203261212,6.88340243677589,77.3400495849015,4.43280521824008e-09,8.44636727777153e-06
"ENSMUSG00000041534",2.15454436201528,6.78872062820605,79.3233105957098,4.90099064510359e-09,8.44636727777153e-06
"ENSMUSG00000038335",-2.49801666505918,4.35758198816859,77.8148763376439,6.90183245265054e-09,9.91218170741495e-06
"ENSMUSG00000111409",-3.44505781005635,4.31044055981007,71.0530782358677,1.32522357724514e-08,1.63135022358877e-05
"ENSMUSG00000054391",4.05211001171556,4.69254521388386,54.2994159003925,1.82227187988288e-08,1.8790600486586e-05
"ENSMUSG00000020205",-2.94449161733049,5.51055336500317,68.4406438351991,2.08176090707538e-08,1.8790600486586e-05
"ENSMUSG00000030942",-1.75020187744813,5.63510103009177,65.7122450083608,2.18064297163583e-08,1.8790600486586e-05
"ENSMUSG00000026036",-2.46828365753549,5.01534275066311,64.3777069453857,3.600241468281e-08,2.10202018918017e-05
"ENSMUSG00000020923",-1.8010262893978,7.50661586449109,61.4077306756463,3.74105310451012e-08,2.10202018918017e-05
"ENSMUSG00000029723",-2.31304204876222,4.36587825872025,64.1565846922083,3.85376760888912e-08,2.10202018918017e-05
"ENSMUSG00000030738",-1.55924470286399,7.79764362199387,62.0629222195016,3.87296662171862e-08,2.10202018918017e-05
"ENSMUSG00000004535",-1.86100231365518,8.18988052508457,62.0232900706766,4.04264446381826e-08,2.10202018918017e-05
"ENSMUSG00000043061",-1.99741808918682,4.15627140031383,63.4598755938364,4.2710544973732e-08,2.10202018918017e-05
"ENSMUSG00000003360",-1.66357560634501,6.19074232124077,59.074174415906,4.62692085809013e-08,2.10202018918017e-05
"ENSMUSG00000030852",-2.47034062742592,5.99600863258807,60.7745662814685,4.67609152483547e-08,2.10202018918017e-05
"ENSMUSG00000025352",-2.39031322101804,4.29527394613837,62.1528461740905,5.04673290084445e-08,2.10202018918017e-05
"ENSMUSG00000031628",-2.05378455734238,5.56632323494814,60.5123673647861,5.07571913938929e-08,2.10202018918017e-05
"ENSMUSG00000036053",1.98227244885786,5.64463247985239,58.9676327627176,5.12271370230748e-08,2.10202018918017e-05
"ENSMUSG00000039630",-1.88681443772571,9.04401490730125,60.5959155808401,5.61754659452628e-08,2.20029086386514e-05
"ENSMUSG00000027881",-1.90058431654616,7.35587306909668,56.8663280225824,6.9581871167325e-08,2.53356003378302e-05
"ENSMUSG00000036061",-2.06211953016986,6.28096000157402,56.6709117150299,7.05645129520628e-08,2.53356003378302e-05
"ENSMUSG00000015176",-2.04621137619243,6.62060269235007,55.2277937482607,8.22204075226412e-08,2.75679984540895e-05
"ENSMUSG00000025646",-2.17707906764751,4.94226549730277,58.3066645919508,8.31806846705731e-08,2.75679984540895e-05
"ENSMUSG00000020358",-2.04183059083784,7.55216874097313,54.6017404256659,1.01118814328135e-07,3.22298532437185e-05
"ENSMUSG00000029062",-2.01485978353674,7.90161576880097,54.9484562065355,1.05507698850166e-07,3.22298532437185e-05
"ENSMUSG00000078193",5.66781298715131,5.69094696186416,45.788566963317,1.0962621984346e-07,3.22298532437185e-05
"ENSMUSG00000032599",-2.30646802037624,7.60834296644827,53.6220539741671,1.14148842462151e-07,3.22298532437185e-05
"ENSMUSG00000020994",-2.15521934687406,9.23251493474215,55.6540389738812,1.15948178084632e-07,3.22298532437185e-05
"ENSMUSG00000086219",-2.16938480199063,5.96740906276337,53.9874569052593,1.23533945003258e-07,3.28458127494768e-05
"ENSMUSG00000037103",-2.1242379007828,3.91629242694431,55.661363221484,1.27860645460989e-07,3.28458127494768e-05
"ENSMUSG00000067873",-2.14538698395091,7.32691542779427,52.639709670609,1.29599354007452e-07,3.28458127494768e-05
"ENSMUSG00000033900",-2.07591664801708,5.59579898296743,53.9220641826775,1.36738178748535e-07,3.36649396078893e-05
"ENSMUSG00000022044",-1.91833501782418,5.20246142250075,53.5526892023979,1.55336582766106e-07,3.71815370470981e-05
"ENSMUSG00000022185",-1.5246113097108,8.45702445270606,52.6985674555821,1.77830605356402e-07,4.13590693548729e-05
"ENSMUSG00000058672",-1.79092561020119,8.73440236980258,52.4448497487249,1.86728622515515e-07,4.13590693548729e-05
"ENSMUSG00000022860",-2.12363695702247,5.15329548662727,52.5353777752957,1.89970274894563e-07,4.13590693548729e-05
"ENSMUSG00000005846",-1.69125643880934,7.21595753190086,50.5913244984347,1.91988252778799e-07,4.13590693548729e-05
"ENSMUSG00000028869",-1.59824176096539,6.38758744719697,49.8021467836591,2.00085885144911e-07,4.13857172102674e-05
"ENSMUSG00000064356",4.64145970009777,6.35873286286955,48.1050084676514,2.01717549359549e-07,4.13857172102674e-05
"ENSMUSG00000027981",-2.13422582727171,8.16079219198685,50.7217290625963,2.16158905509862e-07,4.33172392739182e-05
"ENSMUSG00000029447",-1.58675307889293,8.25143601569515,50.796827779269,2.33493898162446e-07,4.35478882300336e-05
"ENSMUSG00000020720",-1.5733860262698,6.99016268863517,49.2278147894673,2.34696192887186e-07,4.35478882300336e-05
"ENSMUSG00000021217",2.46968045228746,5.77862021912212,49.4207656525785,2.38630580641497e-07,4.35478882300336e-05
"ENSMUSG00000027350",-1.54112280021144,7.34489171611477,49.5868631424152,2.40475952481168e-07,4.35478882300336e-05
"ENSMUSG00000039756",-1.83780950608542,6.2265816946287,48.7586815074124,2.49519996320049e-07,4.35478882300336e-05
"ENSMUSG00000052684",-2.01183651123906,4.87632679821905,51.0784131806629,2.50470785698432e-07,4.35478882300336e-05
"ENSMUSG00000042487",-1.78201617892074,6.43474653043346,48.4050650723448,2.55794468610721e-07,4.35478882300336e-05
"ENSMUSG00000025340",-1.84831428275469,6.26187000005603,48.4087894308425,2.64542988914399e-07,4.35478882300336e-05
"ENSMUSG00000029014",-1.74895753681424,5.93802842699908,48.7055557671307,2.66144137511416e-07,4.35478882300336e-05
"ENSMUSG00000042606",-1.73734424353379,5.65368823016741,49.1611595868388,2.67847055377949e-07,4.35478882300336e-05
