"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000058672",-2.27252034487663,8.77251704623731,136.164015270136,1.41460191619852e-10,9.45828769948883e-07
"ENSMUSG00000021240",-3.57638867052917,6.59118798147508,121.025675063789,2.33624495479531e-10,9.45828769948883e-07
"ENSMUSG00000022935",-3.19132355432441,6.4070317440436,109.932367062065,5.05177827710868e-10,1.36347495699163e-06
"ENSMUSG00000030852",-3.30359092213305,5.37671182338874,108.817119400097,1.01417329405762e-09,2.05294029049613e-06
"ENSMUSG00000052397",-2.17192022217464,5.65887824037246,91.201624190109,2.55496484315427e-09,4.13751006700402e-06
"ENSMUSG00000048967",-2.89365320853072,5.54725812303346,90.0642459236031,4.2036353461811e-09,4.87409290964703e-06
"ENSMUSG00000030738",-1.6941371632516,7.63193952212681,89.9904984637712,4.81131484547325e-09,4.87409290964703e-06
"ENSMUSG00000056216",-1.72317316076434,5.21937680652162,85.3144176614016,4.81570251663286e-09,4.87409290964703e-06
"ENSMUSG00000015224",-2.89904733950117,5.418653746199,85.1473386872448,7.27639489706305e-09,6.54632994239105e-06
"ENSMUSG00000029062",-2.01275219247582,7.78763829739846,80.9877206187559,1.15565715122774e-08,9.0665622793053e-06
"ENSMUSG00000032883",-1.99750534442993,6.2601643099253,75.7998878936876,1.23171773585721e-08,9.0665622793053e-06
"ENSMUSG00000005846",-1.76060523399188,7.12202843669536,77.3327154071648,1.4875152432281e-08,9.6815154557221e-06
"ENSMUSG00000021448",2.87870060742813,6.17287395100797,79.4141943656561,1.5543991715992e-08,9.6815154557221e-06
"ENSMUSG00000028869",-1.84239702038941,6.07516685032046,71.7938536242062,1.95308211033501e-08,1.12957898909876e-05
"ENSMUSG00000042606",-1.73693446107799,5.63271653486985,69.163590716168,2.67770906368166e-08,1.31468520101598e-05
"ENSMUSG00000036061",-2.63638597430252,7.09389802833846,69.875771658061,2.6985538830661e-08,1.31468520101598e-05
"ENSMUSG00000029247",-1.37467362254163,6.9962658753171,72.2144748056122,2.78125306064296e-08,1.31468520101598e-05
"ENSMUSG00000019947",1.73514834924665,8.16288173691674,73.8952063394574,2.92260511526338e-08,1.31468520101598e-05
"ENSMUSG00000027014",-2.89919195676619,6.70898189625938,67.736056073496,3.17235635363203e-08,1.34650404906273e-05
"ENSMUSG00000027349",-2.44403953556698,6.84856583755123,67.7286228716256,3.42667062941423e-08,1.34650404906273e-05
"ENSMUSG00000030942",-1.63947434874617,5.47454164965564,67.1431178917024,3.49222984195596e-08,1.34650404906273e-05
"ENSMUSG00000038416",-1.58904243121766,6.18711947586876,67.0450794646846,3.76625416732115e-08,1.38615272694542e-05
"ENSMUSG00000002658",-2.09780708305347,6.56085853919779,65.7143853086447,4.43729955165484e-08,1.56212236824997e-05
"ENSMUSG00000028902",-1.46338623651364,5.95417252601384,64.8773551974652,4.78095624384617e-08,1.6129751127676e-05
"ENSMUSG00000020923",-1.94688182263409,7.35066679979138,66.5921308450924,5.31350368668743e-08,1.65310508831281e-05
"ENSMUSG00000027881",-2.22701410607129,7.44610372516946,66.1779635551853,5.37659834175408e-08,1.65310508831281e-05
