"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000030787",-2.95099329651534,7.56634220915539,117.342798699571,1.53899409618205e-10,1.2038011820336e-06
"ENSMUSG00000058672",-2.26834601532959,8.97577427307796,118.470489058292,3.08565632843474e-10,1.20680019005083e-06
"ENSMUSG00000027349",-2.44783142756435,6.72890045062356,94.422938932666,1.1739019828397e-09,3.06075376992404e-06
"ENSMUSG00000048967",-2.67970205581769,5.63551779495473,85.5009609882122,5.02246678659476e-09,8.41641969377343e-06
"ENSMUSG00000029247",-1.4019550775341,6.98946505682099,82.7577164312123,5.37996656467235e-09,8.41641969377343e-06
"ENSMUSG00000026204",2.4971538987282,6.11118510442352,83.2463610880171,6.5372118810556e-09,8.52234522226949e-06
"ENSMUSG00000042606",-1.8104507737658,5.32930099707693,75.7517246828258,1.20873141865442e-08,1.33004643642656e-05
"ENSMUSG00000067873",-2.1576453134868,7.04982380265323,72.7356937855453,1.40090823605506e-08,1.33004643642656e-05
"ENSMUSG00000008301",-1.48411439753686,6.47578870594414,71.8960994099357,1.53035258601879e-08,1.33004643642656e-05
"ENSMUSG00000002658",-1.73061759981067,6.4925172207271,67.9403085658424,2.41939039590666e-08,1.79185171149548e-05
"ENSMUSG00000021240",-2.13333146609687,5.85067438962702,68.5957387760929,2.51986305630917e-08,1.79185171149548e-05
"ENSMUSG00000027014",-2.61096313522188,6.91405607626348,66.7089645786029,2.75871691132543e-08,1.79822364003229e-05
"ENSMUSG00000070697",-1.67068831226442,6.05634244740114,66.0585320364057,3.02016470361027e-08,1.81720987012612e-05
"ENSMUSG00000013089",1.83944999995257,6.58737278399384,69.4006396099966,3.29652737358511e-08,1.8418169368702e-05
"ENSMUSG00000036061",-2.4725108550113,5.55427787870345,67.8890753710072,3.54678924172424e-08,1.84953236325114e-05
"ENSMUSG00000027881",-2.05645159931594,7.28319677087782,64.851906344793,4.20728961443736e-08,1.94416769857701e-05
"ENSMUSG00000029062",-1.87270460401722,7.82531279389708,66.4372944492575,4.22537086113642e-08,1.94416769857701e-05
"ENSMUSG00000025340",-1.73608813021637,6.68983854933103,60.5240294264386,6.84048809381891e-08,2.83800407768169e-05
"ENSMUSG00000078193",5.52413534756021,5.65458241424564,49.8375849279604,6.89364324673385e-08,2.83800407768169e-05
"ENSMUSG00000041534",1.53207695405513,7.19126286579469,62.5087232214273,8.30268083778076e-08,3.03257497284274e-05
"ENSMUSG00000020994",-1.87568777813473,9.39775609489373,62.595666856052,8.39659102702554e-08,3.03257497284274e-05
"ENSMUSG00000039756",-1.74733041645245,6.12905920203056,58.3510176376539,8.74763636719081e-08,3.03257497284274e-05
"ENSMUSG00000022037",-2.23356262588391,6.64453843542747,58.1958529860649,8.91705757803413e-08,3.03257497284274e-05
"ENSMUSG00000039630",-1.90960342028505,9.08012062753371,61.5799689791367,9.44735518532526e-08,3.07905051081726e-05
"ENSMUSG00000020720",-1.46347115403881,7.06574983536727,59.1055818215135,9.8648922320417e-08,3.08652748156121e-05
"ENSMUSG00000071054",-1.35128342203707,7.19400768810972,59.2008213431906,1.03237436375093e-07,3.10585856663838e-05
"ENSMUSG00000004535",-2.01531007979625,8.33337404734647,59.5671320729862,1.12920818326706e-07,3.27135792944999e-05
"ENSMUSG00000030942",-1.47025038921723,5.42461544361657,56.9043565070041,1.20225808582591e-07,3.35859383833225e-05
"ENSMUSG00000030852",-2.41291823325116,5.82087454487168,57.1556783134231,1.29814835806153e-07,3.50141946784733e-05
"ENSMUSG00000020923",-1.69041647292959,7.34366940568904,56.8168796941251,1.40685054931447e-07,3.66812833224592e-05
"ENSMUSG00000020409",-1.66012685909429,6.08688636626864,54.565771661721,1.53061051485744e-07,3.67722554096546e-05
"ENSMUSG00000028869",-1.73712632550995,6.33777669618043,54.5085062979782,1.54838403269125e-07,3.67722554096546e-05
"ENSMUSG00000030428",-1.86337480583698,10.9628285799442,57.8968450351544,1.57246131812513e-07,3.67722554096546e-05
"ENSMUSG00000118257",2.02053721068313,6.08974174769878,56.5707236720278,1.62056234096306e-07,3.67722554096546e-05
"ENSMUSG00000026234",-1.84322316160183,9.31932801058977,57.3722717750755,1.68678185681063e-07,3.67722554096546e-05
"ENSMUSG00000071723",-1.5283638200046,5.31929846491705,54.9178015294985,1.69240756168188e-07,3.67722554096546e-05
"ENSMUSG00000026020",-1.67980549208168,6.89151423812097,54.5017690193636,1.74598400693382e-07,3.68267209738933e-05
"ENSMUSG00000020358",-1.7850781526275,7.21813499250151,54.7377245208442,1.80538683441252e-07,3.68267209738933e-05
"ENSMUSG00000025364",-1.38805265144217,6.70536903298813,54.0208144764941,1.88955865298986e-07,3.68267209738933e-05
"ENSMUSG00000028668",-1.82182893912568,5.58347990881717,53.9411559014336,1.92246958966527e-07,3.68267209738933e-05
"ENSMUSG00000005846",-1.64092421747198,7.19734586850203,54.3900885919723,1.94643141125198e-07,3.68267209738933e-05
"ENSMUSG00000004980",-1.83181500034744,9.88295169690559,56.2844940165972,1.9774000011551e-07,3.68267209738933e-05
"ENSMUSG00000034813",1.59909966370317,8.16328039890019,56.0602729223111,2.04268208292916e-07,3.69833520808023e-05
"ENSMUSG00000034349",-1.68484704062055,4.83840978545221,54.9769452222776,2.08037265604104e-07,3.69833520808023e-05
"ENSMUSG00000027080",-1.25293739713285,6.62077349989263,53.1909422391868,2.1447731316121e-07,3.72809231899331e-05
"ENSMUSG00000018593",-2.05584250442845,6.9656341379829,52.163478134849,2.35633033047246e-07,4.00678605325121e-05
"ENSMUSG00000027350",-1.58079115749282,8.40096348342529,54.3031617407251,2.49083903205457e-07,4.01276832187805e-05
"ENSMUSG00000022035",-1.15134574543888,6.11640242060681,51.5918365528036,2.49107055592251e-07,4.01276832187805e-05
"ENSMUSG00000018326",-1.763958013981,9.6061828144545,54.5847138234093,2.51375156957331e-07,4.01276832187805e-05
"ENSMUSG00000033102",1.84221645545087,5.61936819321295,52.3386213897722,2.65642041752979e-07,4.1557041011836e-05
"ENSMUSG00000033080",-1.82937905912537,10.212827334398,53.24718411286,3.05086192782008e-07,4.57477720186228e-05
"ENSMUSG00000021448",2.65419440680265,6.29567599710038,52.6937893576473,3.05175648298085e-07,4.57477720186228e-05
"ENSMUSG00000056216",-1.57541412742109,5.11574162751115,51.4772759291243,3.09975954613527e-07,4.57477720186228e-05
"ENSMUSG00000032249",-1.93477111454072,10.2814238252818,52.7544021886103,3.27946014669455e-07,4.75035875323052e-05
"ENSMUSG00000001175",-1.91589533933861,10.119214032375,52.5276590153472,3.39288154896188e-07,4.82529445017815e-05
"ENSMUSG00000006010",-1.15021733182127,6.52928503043683,50.0794187908633,3.46657377289111e-07,4.84206072349183e-05
"ENSMUSG00000045598",-1.56260690573467,5.07946246057605,50.4464338537582,3.67395179529552e-07,4.92365126963935e-05
"ENSMUSG00000033900",-1.99565548767331,5.64407872755351,49.8240808115868,3.72487890343942e-07,4.92365126963935e-05
"ENSMUSG00000030082",-2.00113048170696,5.91985569159607,49.3174795629006,3.73162675643013e-07,4.92365126963935e-05
"ENSMUSG00000042699",-1.56704419074992,6.77017129325843,49.466812391523,3.77677162079214e-07,4.92365126963935e-05
"ENSMUSG00000027177",1.70819419249699,5.39337262525025,49.3830583482309,3.94765824134413e-07,4.99165875174964e-05
"ENSMUSG00000017144",-1.74002269946682,5.18853093320018,50.0353584528096,3.95656919724467e-07,4.99165875174964e-05
"ENSMUSG00000044707",1.58865519518106,5.31927979287439,49.0533079652218,4.03420871597902e-07,5.00882231371237e-05
"ENSMUSG00000061032",-1.39805146634509,8.33601056054403,50.8403320253102,4.18616271372988e-07,5.11627574168674e-05
"ENSMUSG00000068240",4.20561319893827,5.74770095136252,46.6316494439856,4.4254936316834e-07,5.32557095185039e-05
"ENSMUSG00000027067",-1.52405653529479,6.79782158581226,48.4259107002093,4.53640706659797e-07,5.37632970832263e-05
"ENSMUSG00000020220",1.69800329771846,6.11373163995055,49.4384061646434,4.65051013279527e-07,5.42929705354099e-05
"ENSMUSG00000029447",-1.52205167461202,8.33117806864927,49.8931305699689,4.79902890775699e-07,5.4546257477793e-05
"ENSMUSG00000030614",-1.41660559586802,5.13520128749729,48.4116928894343,4.82731083815076e-07,5.4546257477793e-05
"ENSMUSG00000033088",1.75061690089556,5.19898509404962,47.743448909466,4.88140887681604e-07,5.4546257477793e-05
"ENSMUSG00000032599",-2.04416186372972,7.41134033662886,47.9605874166374,5.16157664243403e-07,5.60009312101984e-05
"ENSMUSG00000027981",-2.0149024177602,8.19873461739403,48.9464409466437,5.21902298211219e-07,5.60009312101984e-05
"ENSMUSG00000031774",-1.31529147165282,6.03783833103672,46.9144553965848,5.22637174423994e-07,5.60009312101984e-05
"ENSMUSG00000037197",-1.41706747208225,5.99001984652179,46.6957692478588,5.40052489709314e-07,5.6826923669902e-05
"ENSMUSG00000042487",-1.71128499460801,6.20898465372381,46.6103140660163,5.47665004516606e-07,5.6826923669902e-05
"ENSMUSG00000048978",-1.2671194153802,6.24648634787318,46.7603230530928,5.52140910114108e-07,5.6826923669902e-05
"ENSMUSG00000003360",-1.5678385707533,6.13826317703831,46.3268337708578,5.75168910022938e-07,5.84281975870055e-05
"ENSMUSG00000040462",-1.6804168778153,6.24220066970334,45.6468145240758,6.46493254968985e-07,6.48316697483e-05
"ENSMUSG00000022283",-2.3628574230452,8.34274480048966,47.3463524232994,6.58534467622385e-07,6.52032481739531e-05
"ENSMUSG00000021039",-1.49453022208858,8.66626726649424,47.6594838681594,6.98287434434362e-07,6.66252436994521e-05
"ENSMUSG00000003031",-1.60408396399593,6.73685024327135,45.5982474976627,7.06479708160519e-07,6.66252436994521e-05
"ENSMUSG00000021548",-1.02405532928841,6.88461302665574,46.3535849758304,7.0652863707609e-07,6.66252436994521e-05
"ENSMUSG00000033931",-1.44201420373946,5.87631319566826,45.1092835414366,7.1190995941737e-07,6.66252436994521e-05
"ENSMUSG00000037958",-1.33849787608013,6.67361920122899,45.6905172471477,7.1548459099386e-07,6.66252436994521e-05
"ENSMUSG00000037262",-1.3374322644336,5.48286946152519,45.1457449559181,7.41446801074865e-07,6.77628828609927e-05
"ENSMUSG00000021025",-1.32273325340164,5.10038569325186,45.7264821206023,7.45592447464325e-07,6.77628828609927e-05
"ENSMUSG00000031245",-1.92170498334676,6.52729313893429,44.7911110286601,7.53690975314032e-07,6.77628828609927e-05
"ENSMUSG00000029014",-1.48408856815744,5.80888741876444,44.6602943787662,7.75824479801418e-07,6.89602168296215e-05
"ENSMUSG00000026353",-1.27888242549255,7.99263207356547,46.5367831009057,8.01918667491846e-07,6.97160417282583e-05
"ENSMUSG00000038708",-1.42771355771408,7.63784728944934,46.15234022391,8.02153382196784e-07,6.97160417282583e-05
"ENSMUSG00000039328",-1.46034835642502,4.42449654788723,46.4980915412097,8.23303639186454e-07,7.07679237990818e-05
"ENSMUSG00000024474",-1.79929690718236,7.65322168689421,45.5092488648955,8.51695329796358e-07,7.24126181485556e-05
"ENSMUSG00000033904",-1.68370714797985,5.54059396621897,44.524183620515,8.61475801905558e-07,7.24565991667234e-05
"ENSMUSG00000059119",-1.31393223371826,6.99309306098727,44.8856440691374,8.87202421957071e-07,7.37697186911592e-05
"ENSMUSG00000020048",-1.93108320694108,9.30881054824807,46.0656684281699,9.13265677492018e-07,7.37697186911592e-05
