"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000023868",3.0038937751957,7.61675156287568,105.792760998859,6.06517289163231e-10,3.54024141684578e-06
"ENSMUSG00000067873",-2.06796400811866,7.1661305506722,76.9698172478652,5.24967435088021e-09,1.53211745930439e-05
"ENSMUSG00000058672",-2.03502303605474,8.0973407520396,73.88190595595,1.20880304229336e-08,2.35192778595545e-05
"ENSMUSG00000006289",-2.60533588315107,6.19824408981097,63.0982285355742,2.27042723390734e-08,3.15957440281448e-05
"ENSMUSG00000027349",-2.15809389423245,6.58492755627842,62.3129034019229,2.70650539901874e-08,3.15957440281448e-05
"ENSMUSG00000020994",-1.97819224628562,9.516012555156,63.8783977264183,5.24820864113689e-08,5.10563230638601e-05
"ENSMUSG00000029062",-1.95150060957054,8.10098505307289,59.4900258700915,8.0654369187809e-08,6.72542218498916e-05
"ENSMUSG00000052684",-2.02008734391168,5.94881278413412,53.226419614814,1.02865452888682e-07,7.50532060639044e-05
"ENSMUSG00000027014",-2.55092410382435,6.87980722157124,52.8154719232055,1.15739370047688e-07,7.50634114409286e-05
"ENSMUSG00000018326",-2.05685294080909,9.14786874137996,55.9340267748983,1.54699065037555e-07,8.74656079626212e-05
"ENSMUSG00000004980",-1.95869669353761,10.0766467449915,55.6389571957274,1.64831538048455e-07,8.74656079626212e-05
"ENSMUSG00000032249",-2.07381360254034,9.57514348195437,54.5081878657184,1.94008701930325e-07,9.43690660972756e-05
"ENSMUSG00000020358",-2.11342292508708,7.39300054019089,47.9914449845523,3.64086997898996e-07,0.0001222888336524
"ENSMUSG00000035681",2.60605269105817,5.38021295213167,42.6995351174479,3.69825701210207e-07,0.0001222888336524
"ENSMUSG00000024587",-1.75826266381789,7.76132017787115,48.5891565859543,4.05026286542301e-07,0.0001222888336524
"ENSMUSG00000030428",-1.67392960561279,10.1635355070135,49.5522964127299,4.14844568179829e-07,0.0001222888336524
"ENSMUSG00000020923",-1.8273186383614,7.48199410290244,47.6049309325297,4.3292165473538e-07,0.0001222888336524
"ENSMUSG00000032599",-1.79723713294584,7.64352451753952,47.5225460872606,4.64464214197064e-07,0.0001222888336524
"ENSMUSG00000020863",-1.91786516043558,9.88698950464323,48.6111101348522,4.8327628740586e-07,0.0001222888336524
"ENSMUSG00000071054",-1.44174140730633,7.40923233690057,47.2452225971776,4.89769867533313e-07,0.0001222888336524
"ENSMUSG00000024474",-1.90731371742146,7.75247930098611,47.0401410726497,5.06246560252017e-07,0.0001222888336524
"ENSMUSG00000061032",-1.58873254307204,7.84821791009388,47.4453507808685,5.11573931480124e-07,0.0001222888336524
"ENSMUSG00000016554",-1.25820674499386,6.53673872697932,45.3053560236216,5.36130712591829e-07,0.0001222888336524
"ENSMUSG00000036061",-2.33331242953461,6.60383539301,43.7420420242469,5.65616807960875e-07,0.0001222888336524
"ENSMUSG00000029447",-1.51539488749767,8.21236653262496,47.2186527061825,5.68759299910557e-07,0.0001222888336524
"ENSMUSG00000030738",-1.41814396654753,7.75462156653492,46.7274066590382,5.80485308820959e-07,0.0001222888336524
"ENSMUSG00000026234",-1.9039357002667,9.39210850645647,47.3548006007303,5.89895486229707e-07,0.0001222888336524
"ENSMUSG00000001175",-2.00200015791437,9.74466116632149,46.9531218894928,6.32437540228156e-07,0.0001222888336524
"ENSMUSG00000039770",-1.51540814386825,5.91835112350415,43.0708506891629,6.43445608821059e-07,0.0001222888336524
"ENSMUSG00000041534",1.46744126815856,8.7847801557285,46.7916115635151,6.49966886287231e-07,0.0001222888336524
"ENSMUSG00000046668",-1.44464993825027,8.25331834115614,45.9647773295167,7.08151060447043e-07,0.0001222888336524
"ENSMUSG00000039630",-1.85056858087084,9.16272994073444,46.1105923742189,7.20584808204462e-07,0.0001222888336524
"ENSMUSG00000020720",-1.40922307853589,6.81363008227452,43.9384133326766,7.3143207467724e-07,0.0001222888336524
"ENSMUSG00000045671",2.48839707304015,5.37558473608763,39.8106086153711,7.38593164861836e-07,0.0001222888336524
"ENSMUSG00000027569",-1.83131276530293,5.37276104513935,42.4161255862362,7.51019493485521e-07,0.0001222888336524
"ENSMUSG00000042699",-1.51249886080921,6.80313168601886,43.5307846383427,7.66140328947695e-07,0.0001222888336524
"ENSMUSG00000039756",-1.90189213856018,6.34569049622703,42.1828009535318,7.77956475173043e-07,0.0001222888336524
"ENSMUSG00000022283",-2.26911544116754,8.40961850774415,44.8686228959393,7.96123981290252e-07,0.0001222888336524
"ENSMUSG00000027748",2.03790425547426,6.78115105692899,44.7917432852561,8.58548956352011e-07,0.000128496160467351
"ENSMUSG00000021743",-1.60860655954981,7.96357277818907,44.0576679085984,9.27088827428267e-07,0.00013528543714247
"ENSMUSG00000047945",-2.23502682919961,6.37445409767469,40.6952561326588,9.97121417929886e-07,0.000141956041864799
"ENSMUSG00000020409",-1.49214966987288,6.04770951665343,40.4422887263933,1.10021755623736e-06,0.000152904044660892
