"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000020994",-2.31161676556756,9.93907801232148,66.8217298812935,3.14104252315877e-08,4.59267248016125e-05
"ENSMUSG00000040364",-2.25627944144287,7.78554899483557,60.3315951255927,4.26630049248607e-08,4.59267248016125e-05
"ENSMUSG00000058672",-1.74750069348977,10.0008441123367,56.0391130328132,1.45719183961741e-07,0.000104577801023209
"ENSMUSG00000004980",-1.90846593840173,10.6000819396339,49.2092223021675,4.23322415976024e-07,0.000227853290399095
"ENSMUSG00000063870",-1.72010321528833,9.01091501958653,43.7861978457693,9.24139790650519e-07,0.000302680171411062
"ENSMUSG00000022283",-2.55817189119684,8.65086569574156,42.4252136405559,9.38734396987803e-07,0.000302680171411062
"ENSMUSG00000037149",-1.6184428693487,7.86846825529433,41.5862863719137,1.10356769607066e-06,0.000302680171411062
"ENSMUSG00000071054",-1.89535338144364,7.87787656475363,41.2970995118185,1.12468247621388e-06,0.000302680171411062
"ENSMUSG00000020048",-2.01063729785492,9.61032584240313,41.5721146455541,1.44181115207179e-06,0.000315633647524178
"ENSMUSG00000067786",-2.48672648468745,8.52648190512168,39.4817584472492,1.62569706568555e-06,0.000315633647524178
"ENSMUSG00000020358",-2.35207664853403,7.50502335272376,38.7978401041208,1.65477385867779e-06,0.000315633647524178
"ENSMUSG00000032249",-1.90068073501347,10.1883006641335,40.763313612627,1.75922144463081e-06,0.000315633647524178
"ENSMUSG00000032036",2.41657945808771,10.4511122524104,40.4805605010596,1.92737176914315e-06,0.000319202416843477
"ENSMUSG00000032181",-1.42137322295812,9.11271165754641,38.70707231192,2.44768904440825e-06,0.000338433442479363
"ENSMUSG00000024474",-1.94755932678677,8.03065870250216,37.2134737932744,2.52878901747576e-06,0.000338433442479363
"ENSMUSG00000016150",1.85065688754421,10.7136100832689,38.4966897026234,2.77073161822515e-06,0.000338433442479363
"ENSMUSG00000049148",2.05799665490853,9.00451350137959,37.7640956493984,2.79004392415004e-06,0.000338433442479363
"ENSMUSG00000020863",-2.1668216867987,10.4021868644808,38.2187242547368,2.82944819536857e-06,0.000338433442479363
"ENSMUSG00000030428",-1.56032732573571,9.75341949952905,37.039635119541,3.52119528451528e-06,0.000363520534554422
"ENSMUSG00000018326",-1.80384423104492,9.77307540432618,36.8919891067113,3.58290544245758e-06,0.000363520534554422
