gene,logfoldchanges,pvals,pvals_adj,scores
ENSMUSG00000050321,9.322933,0.0,0.0,40.440163
ENSMUSG00000036510,3.8106713,1.0076079867965854e-278,1.6138857124520908e-274,35.6738
ENSMUSG00000031558,4.2927575,7.640101651182138e-268,6.118575407349215e-264,34.96508
ENSMUSG00000033981,2.6181269,1.2812634944189209e-267,8.208798956043142e-264,34.950302
ENSMUSG00000050711,2.66452,3.198163441424422e-265,1.707499461376499e-261,34.792137
ENSMUSG00000046178,8.15882,2.1953498016971984e-242,8.790729443446006e-239,33.247814
ENSMUSG00000097886,10.129853,1.441402084265891e-221,5.130430485263728e-218,31.77484
ENSMUSG00000028172,6.861182,2.871271648990285e-219,9.197831600375478e-216,31.607948
ENSMUSG00000025255,3.2275605,3.823886404778583e-217,1.1135852462788832e-213,31.452961
ENSMUSG00000057098,9.592594,1.130136249843301e-197,2.4135189751653536e-194,29.995298
ENSMUSG00000027270,9.224613,1.20858580814032e-181,2.0376756725245793e-178,28.739979
ENSMUSG00000038370,3.2032824,1.2610451700197027e-169,1.9236343322100552e-166,27.761635
ENSMUSG00000059173,4.294304,3.2007461796467e-164,4.272195963283433e-161,27.310297
ENSMUSG00000064179,2.8888597,1.488288322102019e-156,1.833685696546772e-153,26.65691
ENSMUSG00000038805,2.913472,4.158962805765978e-156,4.934378315552123e-153,26.618385
ENSMUSG00000020326,3.1753414,1.3360637201161783e-155,1.5285523289357734e-152,26.574568
ENSMUSG00000026109,5.639004,1.4756179833956022e-142,1.47718582750296e-139,25.421059
ENSMUSG00000029544,1.9732951,2.702910731118957e-130,2.220129291299094e-127,24.2868
ENSMUSG00000022935,2.152791,1.4930468393208078e-129,1.1665429866049452e-126,24.216446
ENSMUSG00000031491,4.2504964,2.492711462365331e-125,1.9012266425097864e-122,23.812267
ENSMUSG00000021337,2.0430596,1.1219036338450407e-122,8.1679684105891e-120,23.554764
ENSMUSG00000025128,5.4131856,4.740343799697149e-121,3.230897303819116e-118,23.395578
ENSMUSG00000045871,3.6583166,1.366785739779296e-116,8.935431507773463e-114,22.953268
ENSMUSG00000033080,2.8323202,3.666511955439294e-116,2.3030008623635753e-113,22.910318
ENSMUSG00000096914,7.3870955,1.678405038703052e-114,1.0144533398078032e-111,22.743126
ENSMUSG00000031492,5.031442,9.188769632983122e-113,5.256304400410381e-110,22.566786
ENSMUSG00000093460,3.6382308,3.744976813438687e-106,1.999443120694915e-103,21.883327
ENSMUSG00000054728,2.6876256,8.849817392064387e-101,4.429610161521727e-98,21.31166
ENSMUSG00000034813,3.1860523,4.166479760206563e-98,2.0198551702992287e-95,21.021545
ENSMUSG00000052479,3.4846594,1.5272332786574605e-97,6.98905583550187e-95,20.9598
ENSMUSG00000031996,1.04839,9.351122776815792e-93,3.840434192724578e-90,20.428402
ENSMUSG00000026452,6.367264,3.2749551109844976e-91,1.2793891710399682e-88,20.254005
ENSMUSG00000034187,1.050491,6.34314942268725e-91,2.3905464541925103e-88,20.22142
ENSMUSG00000019888,3.310328,7.935815719350904e-86,2.648082507850905e-83,19.633915
ENSMUSG00000022892,1.399396,8.419841438701117e-84,2.697212006473516e-81,19.39552
ENSMUSG00000003279,3.1541734,1.781806404631533e-83,5.651325382768963e-81,19.356934
ENSMUSG00000010803,1.3427894,5.1925597979390894e-83,1.5994082746844307e-80,19.301744
ENSMUSG00000064367,1.0509738,9.343914609897538e-82,2.771508894569053e-79,19.151833
ENSMUSG00000030787,2.822062,1.129066119714621e-80,3.2880458253580155e-78,19.021635
ENSMUSG00000031628,3.576809,5.602666513685858e-75,1.4021548367141623e-72,18.321236
ENSMUSG00000045613,3.853047,1.0918019854288481e-74,2.7112236280021486e-72,18.284891
ENSMUSG00000000263,1.9761044,1.7118173623605114e-72,4.092265476556464e-70,18.007162
ENSMUSG00000001946,3.3725972,3.1280973788168114e-72,7.422627513556869e-70,17.973755
ENSMUSG00000026223,1.4483504,4.937795808163482e-69,1.0908782821979929e-66,17.560568
ENSMUSG00000032181,1.6755774,1.438902187608935e-68,3.1144454512070694e-66,17.499754
ENSMUSG00000059857,1.5555804,3.001941471703402e-66,6.165549829835909e-64,17.192888
ENSMUSG00000022376,2.9219902,1.09158692101136e-63,2.0938859537531683e-61,16.847654
ENSMUSG00000020907,6.7097483,3.6863834861325084e-63,7.029143368736237e-61,16.775517
ENSMUSG00000028484,1.0474948,1.4081555346455572e-61,2.5924628963698726e-59,16.557726
ENSMUSG00000048015,1.0911485,2.679317797101214e-61,4.9045295035623025e-59,16.51897
ENSMUSG00000020444,1.1249441,5.042014968188439e-59,8.730589594105322e-57,16.200008
ENSMUSG00000086503,3.3824167,5.254368091476765e-59,9.04937781948208e-57,16.197472
ENSMUSG00000045776,0.97359383,5.77209697917208e-58,9.731755506884127e-56,16.049398
ENSMUSG00000063870,1.5945022,1.0134646874855481e-56,1.6821413367311943e-54,15.870551
ENSMUSG00000070695,2.0751438,1.956419913538653e-56,3.213946436425498e-54,15.829217
ENSMUSG00000004032,1.7693202,1.265036875422999e-55,2.0161289187711618e-53,15.711327
ENSMUSG00000020863,1.1522775,1.5613672483546595e-55,2.47608111058382e-53,15.697979
ENSMUSG00000018326,1.3038887,3.334010153769577e-54,5.209838110529494e-52,15.502548
ENSMUSG00000055761,4.963662,3.418863086285194e-52,5.093946981677205e-50,15.20221
ENSMUSG00000046447,2.5486968,7.703282870835263e-52,1.1371749469324278e-49,15.1489105
ENSMUSG00000032249,1.1653775,2.0350174259898573e-51,2.9364751452323915e-49,15.084927
ENSMUSG00000030307,2.4474065,1.1059947783401677e-50,1.5746416324155082e-48,14.97278
ENSMUSG00000026934,3.291736,2.8724890164378897e-50,4.035847068095235e-48,14.909183
ENSMUSG00000040459,1.1827278,3.9175835178479384e-46,5.019834816429634e-44,14.259409
ENSMUSG00000034520,5.653311,3.059262909677721e-45,3.813246227572612e-43,14.115251
ENSMUSG00000021268,0.8556187,1.2398977010253083e-44,1.5102236864883926e-42,14.016253
ENSMUSG00000023944,1.000938,3.324920958915201e-44,4.034489318101877e-42,13.946055
ENSMUSG00000031608,3.1880407,2.289172274804243e-43,2.7362442033984745e-41,13.8077345
ENSMUSG00000026234,1.2945193,3.278277010709297e-43,3.8894935467059854e-41,13.781836
ENSMUSG00000022762,4.968599,2.5291784115315444e-42,2.956923402737281e-40,13.633565
ENSMUSG00000024978,2.7997658,2.7828333974255764e-42,3.2416467292047603e-40,13.62659
ENSMUSG00000086224,3.8513784,1.5471966409401264e-41,1.7575495459530502e-39,13.500785
ENSMUSG00000071658,1.1635718,1.9450446139597573e-41,2.2016805358157903e-39,13.483915
ENSMUSG00000020436,1.0981399,4.775449240117575e-41,5.348837096430993e-39,13.417501
ENSMUSG00000090223,1.2155352,9.831289767244921e-41,1.0897423404980062e-38,13.363873
ENSMUSG00000031633,0.6482806,1.220579249662323e-40,1.3436438379272458e-38,13.347764
ENSMUSG00000043456,1.2167367,3.2616550264910395e-40,3.541825665037761e-38,13.274332
ENSMUSG00000063887,1.9237375,3.72149455335332e-40,4.027512044666224e-38,13.264448
ENSMUSG00000052889,1.2462462,7.671367848979286e-39,7.927245086264595e-37,13.035646
ENSMUSG00000040785,0.70933867,6.090143519671442e-37,6.021347453986264e-35,12.697689
ENSMUSG00000055447,1.5499538,1.2675509224622605e-36,1.2455437500047868e-34,12.640185
ENSMUSG00000049336,1.1463275,3.4162174893699754e-36,3.316215486499327e-34,12.561992
ENSMUSG00000020994,1.2534117,4.4129402277007037e-35,4.1577684486518925e-33,12.357945
ENSMUSG00000085139,2.0578423,9.715756674400647e-35,9.100425418355273e-33,12.294332
ENSMUSG00000028248,0.91234463,1.4348328785934195e-34,1.3361464079320232e-32,12.262784
ENSMUSG00000039910,1.5307372,2.8283929980726163e-34,2.5887068942930913e-32,12.20768
ENSMUSG00000020949,1.1234607,5.439117752547663e-34,4.949906195599768e-32,12.154352
ENSMUSG00000004031,4.433275,8.14621780371282e-34,7.35087158096159e-32,12.121295
ENSMUSG00000039620,4.632797,5.912104216506964e-33,5.197840177519477e-31,11.957781
ENSMUSG00000004980,0.8712642,6.164779646690146e-33,5.3956981202751954e-31,11.954304
ENSMUSG00000086322,0.74315566,6.674393719210177e-33,5.809987184814642e-31,11.947703
ENSMUSG00000079056,3.4100084,1.1171994223853889e-32,9.64645991824624e-31,11.904808
ENSMUSG00000061013,2.190107,4.475691696988065e-32,3.8131464846094595e-30,11.788476
ENSMUSG00000020483,1.3600062,7.252039547305757e-32,6.162117635501131e-30,11.747754
ENSMUSG00000031738,2.5655425,1.5724601718029142e-31,1.3152007609277952e-29,11.682161
ENSMUSG00000073565,1.8238944,2.8402357602513538e-31,2.3329259575356888e-29,11.631806
