gene,logfoldchanges,pvals,pvals_adj,scores
ENSMUSG00000022935,4.7915707,5.748319249152517e-219,9.207082941367586e-215,31.586
ENSMUSG00000057132,4.306832,4.4379730159849705e-217,4.7388675864687515e-213,31.44823
ENSMUSG00000055865,4.3798356,5.76321151469864e-209,4.615467941546406e-205,30.84908
ENSMUSG00000037747,3.0277216,3.204843779394977e-172,1.2832995703642336e-168,27.97576
ENSMUSG00000029088,3.7998126,4.8485406590588085e-151,1.7257572385809983e-147,26.177073
ENSMUSG00000021337,2.6724389,6.865977576544046e-149,2.1994472568701197e-145,25.987448
ENSMUSG00000030206,2.9727426,3.2648924714459054e-148,9.507960493663467e-145,25.927467
ENSMUSG00000090223,2.788552,4.752249753826547e-146,1.1710274508775354e-142,25.734943
ENSMUSG00000085139,3.963778,2.3189141082859498e-138,4.952272969655474e-135,25.038683
ENSMUSG00000008575,3.4207597,4.476350575770469e-118,5.7358165737692485e-115,23.101458
ENSMUSG00000040118,2.5005934,6.670336617619905e-118,8.218367815724463e-115,23.084219
ENSMUSG00000069662,4.213819,8.975645127166785e-110,9.914683310471062e-107,22.260244
ENSMUSG00000036766,4.189287,2.804300181071314e-100,2.3034090256522687e-97,21.257593
ENSMUSG00000024063,2.5830362,6.289017977511569e-97,4.6851721370140834e-94,20.892319
ENSMUSG00000040896,3.4817839,1.5507878921691982e-94,1.0569774327180445e-91,20.627626
ENSMUSG00000025189,4.464521,2.015788736663226e-92,1.3452870081306206e-89,20.390858
ENSMUSG00000021743,4.7775283,5.38111383526216e-91,3.3799725607605497e-88,20.229532
ENSMUSG00000046500,6.9818287,5.4864286970202816e-89,3.3798510938528406e-86,20.000189
ENSMUSG00000027966,8.521995,7.382937840957333e-82,3.695391106206675e-79,19.164095
ENSMUSG00000038128,2.4792874,1.4669540923109732e-77,6.183211499090751e-75,18.641985
ENSMUSG00000074991,2.411825,9.755924846321374e-77,4.05871813671505e-74,18.540363
ENSMUSG00000075330,4.6578727,2.6173330520471223e-76,1.0749185511445835e-73,18.487213
ENSMUSG00000026163,1.6927761,1.2407342807742528e-75,4.906874314854619e-73,18.403093
ENSMUSG00000005338,2.3123572,9.294224816246004e-75,3.54441902099553e-72,18.29367
ENSMUSG00000052387,3.186992,1.5974863302586243e-74,5.950450825988926e-72,18.264126
ENSMUSG00000027416,3.109835,8.547385152253791e-70,2.710959762052455e-67,17.659845
ENSMUSG00000106379,2.566306,1.465213858884087e-69,4.601633407401259e-67,17.629396
ENSMUSG00000070802,2.491615,1.2061654255890368e-65,3.419318871090195e-63,17.11208
ENSMUSG00000061080,1.821347,1.5033441432685853e-64,4.046901368526543e-62,16.964516
ENSMUSG00000022892,1.4330375,1.894601998354156e-63,5.05764003460642e-61,16.81501
ENSMUSG00000006651,1.7264607,2.9704259998734717e-60,7.101091528354237e-58,16.373226
ENSMUSG00000000263,2.0963256,7.920624185459454e-60,1.879476112274134e-57,16.313438
ENSMUSG00000026468,1.8191805,6.254417645607301e-59,1.4624380646670385e-56,16.186752
ENSMUSG00000034796,2.7598002,5.906993812663695e-55,1.2699640254689181e-52,15.613332
ENSMUSG00000019146,4.341227,4.56195725858993e-52,9.020848075411718e-50,15.183306
ENSMUSG00000023944,1.2636404,1.987523445889807e-49,3.8124746147086277e-47,14.77946
ENSMUSG00000022661,3.0272775,3.4178700485141384e-49,6.402809890883153e-47,14.7429
ENSMUSG00000050272,2.464605,2.7505357520322357e-46,4.895036793366702e-44,14.284071
ENSMUSG00000094483,1.1067951,4.872644539404398e-46,8.57638984479563e-44,14.244176
ENSMUSG00000004980,1.2166526,9.005188198334928e-45,1.518274730239269e-42,14.0389385
ENSMUSG00000044071,2.8992078,2.61584248803987e-44,4.341756386625347e-42,13.963158
ENSMUSG00000051401,2.7868776,5.281240773962012e-44,8.720580770778305e-42,13.913006
ENSMUSG00000021848,1.374384,1.1174689871032176e-43,1.8079293703466905e-41,13.859307
ENSMUSG00000040258,8.710618,3.35470590366087e-42,5.2938250698459265e-40,13.612941
ENSMUSG00000040430,1.9946842,1.5987556680032936e-41,2.4861426732435683e-39,13.498369
ENSMUSG00000031906,2.814591,3.1873097034418427e-40,4.705174149311336e-38,13.276059
ENSMUSG00000002228,3.4127307,4.273134983579968e-40,6.279156241467922e-38,13.254082
ENSMUSG00000086503,3.2324843,3.1957711956858056e-39,4.570238146544602e-37,13.102264
ENSMUSG00000044349,1.7804867,2.1153432313387532e-38,2.9590788241356164e-36,12.958058
ENSMUSG00000095407,4.5355835,3.8892727827632055e-38,5.3934616590059097e-36,12.911252
ENSMUSG00000070695,2.2476618,1.3700543811521306e-37,1.8755693181977502e-35,12.813935
ENSMUSG00000035580,5.1212473,3.687744898980745e-37,4.984524054597012e-35,12.7368965
ENSMUSG00000042846,2.71607,7.74648058515483e-37,1.021196539361522e-34,12.678845
ENSMUSG00000020048,1.2637736,2.206407055343872e-36,2.850001758503451e-34,12.59653
ENSMUSG00000018326,1.3207189,1.4805183408816222e-35,1.8672017532205467e-33,12.445448
ENSMUSG00000066113,2.5247076,1.675044403964121e-34,2.0637835552533326e-32,12.250237
ENSMUSG00000020523,1.8332131,2.2217165175225677e-34,2.7268378131156295e-32,12.227311
ENSMUSG00000020994,1.4252471,4.700550945532669e-33,5.597674683613141e-31,11.976811
ENSMUSG00000031673,1.4115015,5.593845809549952e-33,6.612297293842183e-31,11.962376
ENSMUSG00000034701,1.2022177,8.072624384496458e-33,9.472470678862987e-31,11.931883
ENSMUSG00000045871,2.6550055,1.4319423937042616e-32,1.655987098914163e-30,11.884085
ENSMUSG00000020863,1.059358,9.988972623869363e-32,1.130695226265128e-29,11.720661
ENSMUSG00000054934,3.7440116,2.651453736750237e-31,2.9594658189218497e-29,11.637675
ENSMUSG00000030787,2.4782872,7.054808816517527e-31,7.766108097193211e-29,11.553896
ENSMUSG00000063229,1.0082211,8.48760218811741e-30,9.063061616471771e-28,11.338196
ENSMUSG00000087651,3.357649,1.1527045721702627e-29,1.2183466654504863e-27,11.311374
ENSMUSG00000046743,3.638911,1.4348339705534574e-29,1.5020742291735114e-27,11.29215
ENSMUSG00000008932,1.5066001,2.3777015815341095e-29,2.464960921128274e-27,11.247678
ENSMUSG00000062373,1.9706019,5.71488620759835e-29,5.8489030279298894e-27,11.17005
ENSMUSG00000026234,1.3185809,9.391652245260294e-29,9.520638861540135e-27,11.12584
ENSMUSG00000006649,5.41285,1.0662433896994632e-28,1.0774776260451926e-26,11.114518
ENSMUSG00000072501,1.5875748,3.7664366692668537e-28,3.72388988466958e-26,11.001305
ENSMUSG00000021098,1.0594928,3.8947258672577152e-28,3.8388814902071893e-26,10.998284
ENSMUSG00000052889,1.2694786,3.814368970077132e-27,3.6258010560074427e-25,10.7905655
ENSMUSG00000028876,2.1925082,3.87710177608707e-27,3.674528943644177e-25,10.789066
ENSMUSG00000000766,5.118608,5.126224769203458e-27,4.8440555827924355e-25,10.763367
ENSMUSG00000048978,2.2847497,5.553882475206412e-27,5.232737388551829e-25,10.755982
ENSMUSG00000032246,7.5990973,1.9850644908733122e-26,1.848533601762665e-24,10.637922
ENSMUSG00000039630,1.2615403,2.989956344439628e-26,2.76023808466222e-24,10.599682
ENSMUSG00000021069,3.569198,5.480282304569561e-26,5.044694348982222e-24,10.542866
ENSMUSG00000010803,0.96140766,9.177473533058798e-26,8.352022362443339e-24,10.49428
ENSMUSG00000063870,1.3475363,9.33559501795169e-26,8.457961168556121e-24,10.492666
ENSMUSG00000022283,1.7230443,2.2627821447276525e-25,2.0191076107021063e-23,10.408705
ENSMUSG00000063887,1.8948755,2.674456195763436e-25,2.3666720932344174e-23,10.392778
ENSMUSG00000030209,4.3828964,6.301863729942479e-25,5.485703878396124e-23,10.310733
ENSMUSG00000042834,1.1624614,6.596228857249769e-25,5.71090797873349e-23,10.306345
ENSMUSG00000055639,1.5513811,1.2801413198995783e-24,1.0935479211110156e-22,10.242405
ENSMUSG00000041741,2.3363051,1.726855274135151e-24,1.4557389960959323e-22,10.21341
ENSMUSG00000028572,1.4358048,2.3658152262237063e-24,1.989147636662735e-22,10.182829
ENSMUSG00000032181,1.3548481,2.9062908417592567e-24,2.430812554175353e-22,10.162793
ENSMUSG00000031523,1.4184548,3.162364210630223e-24,2.631685692945609e-22,10.154559
ENSMUSG00000033910,1.0701709,7.059127111671547e-24,5.768675456512407e-22,10.075928
ENSMUSG00000028248,0.8945533,1.9039995500545076e-23,1.5286396387580475e-21,9.977928
ENSMUSG00000003847,1.5423185,1.9579733314404416e-23,1.5680429424840777e-21,9.975154
ENSMUSG00000028832,1.6622951,2.3780452588802746e-23,1.8856015302715524e-21,9.955841
ENSMUSG00000021239,0.8095634,2.491140290120802e-23,1.9703997050303646e-21,9.951219
ENSMUSG00000097710,3.3758297,3.192851747042816e-23,2.5007289208990115e-21,9.926494
ENSMUSG00000047945,2.7586536,4.032776599201436e-23,3.1279894813273316e-21,9.903172
ENSMUSG00000037872,1.7785811,4.7732388222134237e-23,3.6580366610235605e-21,9.886305
ENSMUSG00000042035,5.003107,5.700286415877504e-23,4.358066230220047e-21,9.868514
ENSMUSG00000058799,1.28881,8.122333203260221e-23,6.12213698431148e-21,9.832927
ENSMUSG00000028906,1.0468265,8.15035554089156e-23,6.1288377792704275e-21,9.83258
ENSMUSG00000027523,0.67282027,9.707234663696972e-23,7.282472019130416e-21,9.814964
ENSMUSG00000041734,4.416574,1.0880330925569043e-22,8.124487665959877e-21,9.803452
ENSMUSG00000045103,1.1219068,2.8109206259192164e-22,2.0795619244964476e-20,9.707148
ENSMUSG00000035227,1.2470758,3.665776525901277e-22,2.6995283961085404e-20,9.680038
ENSMUSG00000042429,5.739651,4.148106228972611e-22,3.040742218281662e-20,9.667393
ENSMUSG00000019302,0.99533325,7.147748461928231e-22,5.168645016465213e-20,9.611532
ENSMUSG00000032216,0.85074013,8.663281002595652e-22,6.250440172007863e-20,9.591715
ENSMUSG00000028005,1.1852362,1.5365330596650957e-21,1.101147651751939e-19,9.532424
ENSMUSG00000038602,1.5982755,1.7762545946066337e-21,1.2701013322238595e-19,9.517365
ENSMUSG00000037236,1.1902494,5.704052133667673e-21,3.9809064498891116e-19,9.395327
ENSMUSG00000042401,3.2187202,1.0268573064898286e-20,7.104610573670663e-19,9.333237
ENSMUSG00000004267,1.3397069,1.2412731954776715e-20,8.5511710847165005e-19,9.313124
ENSMUSG00000038872,1.0543036,2.1443603980684863e-20,1.458438237616261e-18,9.254897
ENSMUSG00000063600,2.0688,2.2484234664093968e-20,1.525974519554208e-18,9.249834
ENSMUSG00000072235,0.64559877,2.8454804225012174e-20,1.918991996934821e-18,9.2246275
ENSMUSG00000047766,2.0441535,3.756218904373237e-20,2.517295321813646e-18,9.19482
ENSMUSG00000045776,0.7162617,7.907790676647715e-20,5.266489948767836e-18,9.11444
ENSMUSG00000020102,2.0587187,5.924727593382743e-19,3.857575685496398e-17,8.893437
ENSMUSG00000046844,2.222401,6.059208608602705e-19,3.937133642352516e-17,8.890944
ENSMUSG00000071658,1.0960537,7.977356226836828e-19,5.162558169100827e-17,8.860336
ENSMUSG00000040785,0.5854238,2.30728520305413e-18,1.4694149939291452e-16,8.74116
ENSMUSG00000010066,2.1213467,3.372775615847804e-18,2.139475130258783e-16,8.698171
ENSMUSG00000085715,3.1392767,4.5232270720141104e-18,2.8467005112946954e-16,8.664796
ENSMUSG00000033981,0.795119,4.724495776968162e-18,2.96753917096859e-16,8.659835
ENSMUSG00000029064,2.139788,5.397787693482281e-18,3.370618537485602e-16,8.644634
ENSMUSG00000026864,1.2375726,8.021803739284328e-18,4.922805765981497e-16,8.599279
ENSMUSG00000032666,1.6417867,1.0108146636687025e-17,6.179472697702904e-16,8.572706
ENSMUSG00000004535,1.4253559,1.1769553383306681e-17,7.113695718506533e-16,8.55517
ENSMUSG00000022185,1.3012826,1.4352758605348943e-17,8.626196419582516e-16,8.53225
ENSMUSG00000052504,1.2679766,1.5807444233224706e-17,9.464965767609725e-16,8.521078
ENSMUSG00000042249,4.1016903,2.4931903358660072e-17,1.4762820558065003e-15,8.468151
ENSMUSG00000037143,3.295715,3.4455492831206716e-17,2.0215151233605785e-15,8.430376
ENSMUSG00000054871,5.2064867,4.0175635548153106e-17,2.352808609048513e-15,8.412385
ENSMUSG00000049550,1.7497988,4.026437606348747e-17,2.3537025963827693e-15,8.412127
ENSMUSG00000064367,0.59740597,5.014838766271359e-17,2.9208244552497585e-15,8.386347
ENSMUSG00000035305,5.0738955,8.779310682673744e-17,5.076470007378533e-15,8.32023
ENSMUSG00000043668,4.6290445,2.0446455052992675e-16,1.1592597188806503e-14,8.219435
ENSMUSG00000046093,2.218685,2.576585803664247e-16,1.4531399583552903e-14,8.191655
ENSMUSG00000027981,1.361033,3.18349603659012e-16,1.7859914542229055e-14,8.166164
ENSMUSG00000015749,1.0938638,3.655153225721481e-16,2.0470136089643693e-14,8.149472
ENSMUSG00000044164,1.7199869,4.695642487949096e-16,2.6024258037882583e-14,8.119123
ENSMUSG00000030970,1.2658777,6.660676444184125e-16,3.653563513921135e-14,8.076583
ENSMUSG00000050587,1.0711498,8.620292593128753e-16,4.664568461626461e-14,8.04506
ENSMUSG00000036815,3.0711203,1.3491137695383289e-15,7.263447141746357e-14,7.990025
ENSMUSG00000022456,1.9407209,1.4923855266099e-15,8.007885755346992e-14,7.977573
ENSMUSG00000030268,3.4433258,1.81090762215993e-15,9.63631474556e-14,7.953653
ENSMUSG00000022658,1.4678059,1.8971938726216034e-15,1.0078724463608698e-13,7.947887
ENSMUSG00000046159,1.1938144,3.023465988638773e-15,1.5877657291812203e-13,7.889934
ENSMUSG00000016150,2.7177975,3.938290327058918e-15,2.0447194868234258e-13,7.856877
ENSMUSG00000073565,1.6862737,4.036236394447624e-15,2.0921811757238702e-13,7.8537984
ENSMUSG00000027533,3.104296,4.85434709092192e-15,2.504092668447549e-13,7.8306293
ENSMUSG00000021109,0.6373777,5.984895183687057e-15,3.062621921952575e-13,7.804266
ENSMUSG00000057522,0.8705564,6.141482062339312e-15,3.127762104689627e-13,7.8010077
ENSMUSG00000031740,5.450481,6.348764632957694e-15,3.228195654796298e-13,7.7968183
ENSMUSG00000024268,0.70943516,6.953697499869939e-15,3.524600406816988e-13,7.78532
ENSMUSG00000024019,1.9051595,9.269566751266456e-15,4.668888385378454e-13,7.748895
ENSMUSG00000118202,3.309234,1.1874602146764514e-14,5.934337054125654e-13,7.717379
ENSMUSG00000028820,0.9318255,2.0281677322833173e-14,9.980080666046665e-13,7.6488295
ENSMUSG00000020601,1.86871,2.1351265511157467e-14,1.0490282812644452e-12,7.642217
ENSMUSG00000033192,3.0323918,2.2080161992713473e-14,1.0831790341111538e-12,7.637895
ENSMUSG00000060487,2.9631758,2.276144247567084e-14,1.1148930401615286e-12,7.6339803
ENSMUSG00000033629,1.4653721,2.426394404425504e-14,1.1848646090147346e-12,7.6257396
ENSMUSG00000026748,1.5311383,2.943504709505512e-14,1.4190109400646916e-12,7.6007805
ENSMUSG00000060843,2.4224236,3.063086939242675e-14,1.471108350999998e-12,7.595626
ENSMUSG00000046668,1.672568,3.278668657182673e-14,1.5699382924393088e-12,7.586814
ENSMUSG00000038486,1.1771163,3.376915431220385e-14,1.6145687899061765e-12,7.582986
ENSMUSG00000058672,1.1920981,3.6253367644525395e-14,1.7307606246270142e-12,7.5737743
ENSMUSG00000024857,1.4791932,3.7896422859297136e-14,1.8038246803487736e-12,7.568017
ENSMUSG00000118081,4.321636,4.3723620076199975e-14,2.075025845216281e-12,7.5494094
ENSMUSG00000026872,0.8203132,4.9886451373517205e-14,2.3570244591434365e-12,7.5322156
ENSMUSG00000027750,7.431174,5.277213358958162e-14,2.489694443900821e-12,7.524872
ENSMUSG00000017978,2.2062435,5.6468531737258015e-14,2.6601660965754752e-12,7.516021
ENSMUSG00000031253,4.125556,6.778116241618684e-14,3.155961855872281e-12,7.4920983
ENSMUSG00000036371,0.92617416,6.944888393165145e-14,3.219573875349526e-12,7.4889083
ENSMUSG00000029765,1.5205615,7.182281719016549e-14,3.324815210794453e-12,7.4844947
ENSMUSG00000000568,1.1197221,8.277218425005656e-14,3.809661135440103e-12,7.4658365
ENSMUSG00000044408,1.4539939,1.1073733974890799e-13,5.0676570593093125e-12,7.4274187
ENSMUSG00000027784,1.215993,1.6216286606990495e-13,7.356330204337745e-12,7.3767805
ENSMUSG00000049252,0.97514415,1.6452702503270678e-13,7.444150734318826e-12,7.3748527
ENSMUSG00000020483,1.21424,1.8338784958475385e-13,8.262512480447263e-12,7.3603797
ENSMUSG00000003814,0.9472072,2.884371727068066e-13,1.276214971062133e-11,7.2996874
ENSMUSG00000064065,4.8146076,3.059163387365252e-13,1.3461159333909132e-11,7.2917666
ENSMUSG00000117000,2.1502585,3.2015286633893426e-13,1.404900947986496e-11,7.2856374
ENSMUSG00000001946,2.1859941,3.404228517628948e-13,1.4897685291492586e-11,7.277357
ENSMUSG00000076431,1.9249594,4.2732832474204617e-13,1.8548828665022638e-11,7.246611
ENSMUSG00000100252,0.32786256,4.93098266116931e-13,2.1288288216697803e-11,7.2271876
ENSMUSG00000032249,0.69344527,6.005115765321541e-13,2.5752058691607795e-11,7.200366
ENSMUSG00000037446,1.9600655,6.218154489341021e-13,2.6629994774271426e-11,7.1956115
ENSMUSG00000063873,0.87645704,6.562054283128584e-13,2.8027846254098807e-11,7.1882634
ENSMUSG00000086228,2.6697292,6.862507388219961e-13,2.923318639285083e-11,7.182147
ENSMUSG00000044252,2.421919,8.920141898354199e-13,3.749971464197879e-11,7.146218
ENSMUSG00000051951,1.6292688,1.3614781625183031e-12,5.6641027867677045e-11,7.087915
ENSMUSG00000033578,2.0338664,2.4197482155393122e-12,9.909596913703798e-11,7.0078692
ENSMUSG00000031633,0.4314193,2.5156802644328277e-12,1.0265898291826905e-10,7.0024257
ENSMUSG00000020723,5.0629773,2.881159020245851e-12,1.166814766808541e-10,6.9834023
ENSMUSG00000030729,1.0673978,2.9071874842969866e-12,1.1758692408076978e-10,6.982139
ENSMUSG00000057182,2.2481096,3.038263243861868e-12,1.227335747211489e-10,6.9759426
ENSMUSG00000040990,2.7145143,4.38231755004838e-12,1.7482336288698607e-10,6.924269
ENSMUSG00000032735,2.300341,4.73097292820768e-12,1.8802976027568838e-10,6.9134226
ENSMUSG00000068394,2.794498,6.8814308356289116e-12,2.688289699860202e-10,6.860096
ENSMUSG00000028445,2.0553844,9.974978152144476e-12,3.85824046044625e-10,6.8068633
ENSMUSG00000024211,3.1716142,1.0035086405167886e-11,3.868399012071577e-10,6.8059983
ENSMUSG00000005611,4.300614,1.1679690601758695e-11,4.475445080582991e-10,6.784119
ENSMUSG00000074748,0.8959227,1.2161075803211499e-11,4.654335750060659e-10,6.778285
ENSMUSG00000020368,0.78918785,1.4438271463387483e-11,5.506137953073269e-10,6.7534375
ENSMUSG00000020866,1.9401729,1.5028380139330923e-11,5.717566857284166e-10,6.747626
ENSMUSG00000026278,3.5510614,1.7653860019832434e-11,6.684677918147897e-10,6.7242174
ENSMUSG00000051910,0.85245067,1.9305901992632744e-11,7.241747827072568e-10,6.7111783
ENSMUSG00000092210,2.248719,2.4485964082075136e-11,9.099575097508062e-10,6.676414
ENSMUSG00000024565,3.8101575,4.680484418027226e-11,1.6960931883154316e-09,6.5807605
ENSMUSG00000030849,0.96702546,6.286923503390527e-11,2.2527439318524848e-09,6.5367517
ENSMUSG00000028639,0.52626497,6.791569317948134e-11,2.422729749790095e-09,6.5251894
ENSMUSG00000027881,1.5001704,7.366431505262596e-11,2.616144865183836e-09,6.5130005
ENSMUSG00000049100,2.5735323,8.506490058874819e-11,3.0043759927893714e-09,6.49136
ENSMUSG00000017412,1.8090663,8.623551297271203e-11,3.0423661041496224e-09,6.489301
ENSMUSG00000020623,1.4161505,1.0776839413227926e-10,3.781218770682841e-09,6.4556317
ENSMUSG00000030000,2.4322143,1.1702328982349152e-10,4.083577414167459e-09,6.4431443
ENSMUSG00000019899,6.1866617,1.2109140924935052e-10,4.220938197925674e-09,6.4379582
ENSMUSG00000030189,2.0415628,1.3506394757257386e-10,4.682509195389427e-09,6.421358
