gene,logfoldchanges,pvals,pvals_adj,scores
ENSMUSG00000059203,4.7149,0.0,0.0,171.85498
ENSMUSG00000027827,4.237208,0.0,0.0,162.7944
ENSMUSG00000041540,6.0354447,0.0,0.0,158.54787
ENSMUSG00000078591,3.6335604,0.0,0.0,145.64613
ENSMUSG00000042453,3.007919,0.0,0.0,144.95569
ENSMUSG00000079523,2.5449922,0.0,0.0,144.40244
ENSMUSG00000023267,1.8482273,0.0,0.0,143.896
ENSMUSG00000058056,5.5360847,0.0,0.0,143.87798
ENSMUSG00000059974,1.7340417,0.0,0.0,142.01845
ENSMUSG00000025370,3.1424549,0.0,0.0,141.49759
ENSMUSG00000046159,3.1259317,0.0,0.0,139.08624
ENSMUSG00000051985,4.8996925,0.0,0.0,137.79968
ENSMUSG00000026872,2.5820324,0.0,0.0,137.25957
ENSMUSG00000021536,2.8991253,0.0,0.0,135.32593
ENSMUSG00000059810,3.3322206,0.0,0.0,134.8674
ENSMUSG00000033080,3.1853611,0.0,0.0,127.215034
ENSMUSG00000047495,3.091201,0.0,0.0,124.61966
ENSMUSG00000055421,2.2729583,0.0,0.0,123.060715
ENSMUSG00000034891,1.3338944,0.0,0.0,120.47742
ENSMUSG00000063142,1.1311516,0.0,0.0,118.41641
ENSMUSG00000035566,3.2614613,0.0,0.0,114.761635
ENSMUSG00000026193,4.5830297,0.0,0.0,114.67129
ENSMUSG00000032456,2.3510294,0.0,0.0,110.98676
ENSMUSG00000034813,3.4346907,0.0,0.0,110.62704
ENSMUSG00000034780,1.8627895,0.0,0.0,107.23998
ENSMUSG00000038115,4.499059,0.0,0.0,103.84742
ENSMUSG00000023439,1.1413509,0.0,0.0,103.089294
ENSMUSG00000087278,4.842993,0.0,0.0,101.51836
ENSMUSG00000051650,3.2098405,0.0,0.0,100.53158
ENSMUSG00000040452,1.8944087,0.0,0.0,98.74064
ENSMUSG00000033981,1.477114,0.0,0.0,98.12179
ENSMUSG00000092083,1.8803118,0.0,0.0,97.47622
ENSMUSG00000028399,0.96965355,0.0,0.0,96.78841
ENSMUSG00000044349,2.0789838,0.0,0.0,96.624565
ENSMUSG00000061080,1.7956314,0.0,0.0,95.79517
ENSMUSG00000044229,2.050704,0.0,0.0,95.137596
ENSMUSG00000021098,1.4644375,0.0,0.0,93.94195
ENSMUSG00000004347,1.3157027,0.0,0.0,93.41257
ENSMUSG00000029659,2.8934317,0.0,0.0,92.6486
ENSMUSG00000031246,2.3522472,0.0,0.0,92.05355
ENSMUSG00000042757,1.8138365,0.0,0.0,91.91945
ENSMUSG00000024857,2.1234932,0.0,0.0,91.74565
ENSMUSG00000040364,4.4497943,0.0,0.0,91.24447
ENSMUSG00000039943,1.1681566,0.0,0.0,89.44951
ENSMUSG00000041592,2.140422,0.0,0.0,88.22766
ENSMUSG00000029245,1.6355672,0.0,0.0,87.17917
ENSMUSG00000022861,2.6260066,0.0,0.0,86.703064
ENSMUSG00000030768,4.3601623,0.0,0.0,86.42204
ENSMUSG00000024519,1.6898582,0.0,0.0,86.37073
ENSMUSG00000027977,1.939737,0.0,0.0,85.72103
ENSMUSG00000053420,0.9263687,0.0,0.0,84.01715
ENSMUSG00000033307,1.0127307,0.0,0.0,83.67301
ENSMUSG00000040896,2.0669255,0.0,0.0,83.258156
ENSMUSG00000019790,1.4681138,0.0,0.0,83.124985
ENSMUSG00000092349,1.023756,0.0,0.0,82.57536
ENSMUSG00000022261,2.1254537,0.0,0.0,81.71688
ENSMUSG00000056296,2.0884075,0.0,0.0,79.733345
ENSMUSG00000049001,1.220249,0.0,0.0,78.597115
ENSMUSG00000050840,2.2878175,0.0,0.0,77.79031
ENSMUSG00000050663,4.7313147,0.0,0.0,76.78608
ENSMUSG00000029581,1.5929857,0.0,0.0,76.76875
ENSMUSG00000048078,1.154728,0.0,0.0,76.585144
ENSMUSG00000025089,5.335828,0.0,0.0,76.49512
ENSMUSG00000109446,2.3808992,0.0,0.0,76.38063
ENSMUSG00000074785,3.2576206,0.0,0.0,76.37717
ENSMUSG00000026131,1.3309981,0.0,0.0,75.24576
ENSMUSG00000058589,1.5248557,0.0,0.0,75.127304
ENSMUSG00000062078,1.6980091,0.0,0.0,75.102905
ENSMUSG00000110862,2.8156326,0.0,0.0,75.041954
ENSMUSG00000030043,8.61893,0.0,0.0,74.97405
