gene,logfoldchanges,pvals,pvals_adj,scores
ENSMUSG00000022311,5.5006185,0.0,0.0,87.93842
ENSMUSG00000049252,6.359934,0.0,0.0,86.74708
ENSMUSG00000063626,4.2118216,0.0,0.0,81.68331
ENSMUSG00000051177,4.4902754,0.0,0.0,76.63141
ENSMUSG00000052551,4.7141247,0.0,0.0,76.41281
ENSMUSG00000061080,3.3054235,0.0,0.0,75.189476
ENSMUSG00000029108,3.592613,0.0,0.0,72.54806
ENSMUSG00000054162,4.5744095,0.0,0.0,71.47348
ENSMUSG00000021010,4.4639134,0.0,0.0,69.09103
ENSMUSG00000058589,3.026587,0.0,0.0,65.64545
ENSMUSG00000028832,3.025371,0.0,0.0,63.85494
ENSMUSG00000038872,2.3748717,0.0,0.0,61.726833
ENSMUSG00000019876,5.166801,0.0,0.0,61.366238
ENSMUSG00000062151,2.585799,0.0,0.0,61.25754
ENSMUSG00000110246,2.4254827,0.0,0.0,59.274395
ENSMUSG00000020444,1.9883696,0.0,0.0,59.215996
ENSMUSG00000108600,5.6287017,0.0,0.0,58.57793
ENSMUSG00000052889,2.1811786,0.0,0.0,57.0334
ENSMUSG00000052727,1.9911557,0.0,0.0,56.376274
ENSMUSG00000049583,1.7150137,0.0,0.0,54.776962
ENSMUSG00000029212,3.0557055,0.0,0.0,54.612564
ENSMUSG00000022340,1.6369574,0.0,0.0,54.497185
ENSMUSG00000003949,1.7493188,0.0,0.0,54.224022
ENSMUSG00000087203,8.195947,0.0,0.0,54.086124
ENSMUSG00000024857,2.6171887,0.0,0.0,53.759216
ENSMUSG00000027834,2.8477027,0.0,0.0,53.729515
ENSMUSG00000026872,2.2037764,0.0,0.0,53.60201
ENSMUSG00000040037,1.3640403,0.0,0.0,53.51662
ENSMUSG00000032985,4.08992,0.0,0.0,53.27395
ENSMUSG00000039579,3.373572,0.0,0.0,52.97968
ENSMUSG00000034780,1.9541312,0.0,0.0,52.58286
ENSMUSG00000047907,4.478994,0.0,0.0,52.56263
ENSMUSG00000021314,1.3552427,0.0,0.0,49.59309
ENSMUSG00000039419,2.479669,0.0,0.0,49.500355
ENSMUSG00000049336,1.9232974,0.0,0.0,49.11111
ENSMUSG00000031559,2.1381764,0.0,0.0,48.94937
ENSMUSG00000029544,1.6875365,0.0,0.0,48.50489
ENSMUSG00000040420,2.2772684,0.0,0.0,48.32167
ENSMUSG00000022836,3.7987835,0.0,0.0,48.122192
ENSMUSG00000070866,2.128594,0.0,0.0,47.47301
ENSMUSG00000038811,1.8264319,0.0,0.0,46.442627
ENSMUSG00000052516,1.4609077,0.0,0.0,46.13996
ENSMUSG00000110375,2.0066242,0.0,0.0,45.66661
ENSMUSG00000091519,5.842152,0.0,0.0,45.13557
ENSMUSG00000029245,1.7825608,0.0,0.0,44.41197
ENSMUSG00000026748,2.458184,0.0,0.0,44.160755
ENSMUSG00000036800,1.4144425,0.0,0.0,43.99093
ENSMUSG00000071424,1.8859152,0.0,0.0,43.491
ENSMUSG00000021061,2.0991619,0.0,0.0,43.41211
ENSMUSG00000110281,1.9446805,0.0,0.0,43.19327
ENSMUSG00000057132,2.0417502,0.0,0.0,41.55562
ENSMUSG00000092083,1.7611618,0.0,0.0,41.533875
ENSMUSG00000028173,4.6236143,0.0,0.0,41.27941
ENSMUSG00000024109,1.6044356,0.0,0.0,41.250534
ENSMUSG00000021719,1.9127086,0.0,0.0,41.125698
ENSMUSG00000053580,2.2680025,0.0,0.0,39.279682
ENSMUSG00000048388,1.2532139,0.0,0.0,38.731663
ENSMUSG00000022799,1.6637447,0.0,0.0,38.64762
ENSMUSG00000064115,1.1441257,0.0,0.0,38.496113
ENSMUSG00000045967,2.522727,0.0,0.0,38.32121
ENSMUSG00000040896,2.0177228,0.0,0.0,38.090088
ENSMUSG00000040003,1.0187436,0.0,0.0,37.95203
ENSMUSG00000021983,1.832222,0.0,0.0,37.914467
ENSMUSG00000046844,2.4758894,7.772735728732621e-308,2.766575737046898e-305,37.504524
ENSMUSG00000030102,3.4100955,4.495772595072441e-305,1.5826107616544018e-302,37.33467
