gene,logfoldchanges,pvals,pvals_adj,scores
ENSMUSG00000021268,2.1039965,0.0,0.0,54.020096
ENSMUSG00000010803,2.3613408,0.0,0.0,49.342644
ENSMUSG00000032249,2.0066528,0.0,0.0,44.397686
ENSMUSG00000031996,1.440912,0.0,0.0,42.15452
ENSMUSG00000004980,1.8108155,0.0,0.0,41.930332
ENSMUSG00000031558,2.9356132,0.0,0.0,40.3401
ENSMUSG00000018326,2.0754097,0.0,0.0,39.953957
ENSMUSG00000028248,1.643923,6.60084846837197e-288,1.6391595336110674e-285,36.261272
ENSMUSG00000028172,6.9571896,4.3149565370896004e-271,9.80321402192399e-269,35.178158
ENSMUSG00000020863,1.628015,1.56636002640091e-266,3.4367655538169007e-264,34.87866
ENSMUSG00000023944,1.4791709,4.8543193334979e-236,9.3676665981489e-234,32.80588
ENSMUSG00000027562,1.8037907,1.7738458508807922e-218,3.088227064517136e-216,31.55034
ENSMUSG00000029544,1.7543901,3.9462294494615816e-209,6.51616052495115e-207,30.861341
ENSMUSG00000022762,7.106248,1.4187321142203927e-207,2.3187583952518396e-205,30.74517
ENSMUSG00000035566,3.555289,1.4864612600793965e-207,2.4171218276844356e-205,30.743656
ENSMUSG00000037747,2.1051211,1.5702161118197198e-206,2.5404193396986314e-204,30.666962
ENSMUSG00000030428,1.1751943,8.230683377611345e-206,1.3249332227055368e-203,30.612951
ENSMUSG00000055865,3.029499,5.789286020621381e-200,9.00262079536822e-198,30.170425
ENSMUSG00000020994,1.8366473,1.9043421667810495e-197,2.904937950984007e-195,29.977917
ENSMUSG00000000263,2.2703815,6.873543866476295e-192,1.0054205672086834e-189,29.548458
ENSMUSG00000022892,1.4338361,1.9758110118491678e-189,2.7882436102897023e-187,29.35647
ENSMUSG00000040785,1.0459498,1.1982621905017673e-185,1.6616939831399833e-183,29.0586
ENSMUSG00000032181,1.9996891,3.1002328867565577e-183,4.155349803111279e-181,28.867002
ENSMUSG00000026234,1.7664129,3.982352933023921e-181,5.2715162750615e-179,28.698507
ENSMUSG00000039630,1.7122035,3.4197702668409856e-171,4.2296880589955266e-169,27.891113
ENSMUSG00000069662,3.725437,4.368410992245509e-165,5.107214515532578e-163,27.383028
